province,crop_type,soil_type,season_rainfall_mm,avg_temp_c,soil_moisture_pct,irrigation_mm,fertilizer_kg_ha,pest_pressure_index,farm_size_ha,yield_tons_per_ha
Mpumalanga,Maize,Loam,352.5,23.8,19.7,260.6,228.7,0.85,1.8,6.47
Free State,Sunflower,Sandy Loam,195.9,20.1,12.1,195.5,149.4,2.08,7.1,1.61
Mpumalanga,Wheat,Sandy Loam,799.1,24.9,44.7,106.2,124.3,4.93,14.6,4.65
Mpumalanga,Sunflower,Sandy,422.3,22.9,28.6,54.5,138.7,2.21,11.4,1.55
Mpumalanga,Maize,Sandy Loam,605.2,23.2,24.9,12.8,220.5,0.85,47.8,7.11
Free State,Maize,Clay,760.2,27.3,41.3,26.4,174.3,6.24,2.1,6.17
Limpopo,Maize,Sandy Loam,608.0,28.7,43.1,180.6,100.5,3.84,10.4,6.25
Limpopo,Maize,Sandy Loam,557.0,18.9,34.3,16.1,230.9,4.51,7.9,6.61
North West,Maize,Sandy Loam,636.3,25.0,39.9,196.9,180.3,4.58,3.5,6.84
North West,Wheat,Sandy,397.6,21.1,20.4,79.5,136.2,4.73,35.4,2.55
KwaZulu-Natal,Sunflower,Sandy,804.6,25.4,39.6,151.1,237.9,1.27,17.7,3.18
Limpopo,Sunflower,Loam,471.1,22.2,15.8,224.5,212.5,4.56,2.6,2.95
Mpumalanga,Wheat,Clay,428.2,22.0,30.6,5.2,139.6,1.05,3.6,3.14
Mpumalanga,Soybean,Sandy,732.2,23.2,46.4,98.0,134.7,1.91,16.0,3.33
Limpopo,Soybean,Clay,674.3,19.6,44.1,0.0,167.4,4.84,42.8,3.56
Free State,Maize,Sandy,313.1,18.1,19.4,281.1,179.0,1.41,26.1,4.67
North West,Soybean,Sandy,358.4,30.6,24.3,41.0,173.5,0.36,6.0,1.44
KwaZulu-Natal,Sunflower,Sandy Loam,728.6,20.8,43.0,65.2,237.7,0.86,1.0,3.49
Free State,Sunflower,Clay,521.1,18.0,26.4,133.1,103.5,1.07,48.9,2.87
Mpumalanga,Soybean,Loam,434.4,22.9,12.7,102.4,61.8,3.72,12.4,3.0
Mpumalanga,Wheat,Clay,675.8,21.0,45.8,171.2,281.1,3.43,6.0,4.9
Limpopo,Sunflower,Clay,669.8,18.8,42.3,146.4,212.2,2.73,22.2,3.06
KwaZulu-Natal,Sunflower,Clay,674.4,25.1,31.2,230.4,199.6,2.11,76.4,3.39
Mpumalanga,Sunflower,Clay,468.5,22.7,31.6,142.0,172.7,2.12,7.8,2.27
North West,Soybean,Sandy Loam,608.7,27.1,34.3,49.8,208.4,4.4,4.6,3.2
Mpumalanga,Maize,Sandy,715.2,22.4,33.9,0.0,195.8,0.98,7.9,6.15
Limpopo,Wheat,Clay,529.2,20.7,33.4,153.1,369.5,2.01,13.1,4.6
Free State,Sunflower,Loam,520.0,17.9,29.0,19.2,36.6,2.91,33.2,1.32
KwaZulu-Natal,Soybean,Sandy Loam,527.6,21.5,30.0,113.8,181.7,2.41,57.0,2.44
Free State,Soybean,Clay,792.9,28.5,51.4,134.8,73.6,4.96,25.1,3.28
Mpumalanga,Wheat,Loam,721.3,25.6,38.6,167.1,164.9,0.63,38.6,5.09
Free State,Soybean,Clay,602.4,22.2,27.1,0.0,163.4,1.19,27.2,2.81
North West,Sunflower,Sandy Loam,671.6,14.3,29.5,153.6,178.7,3.04,5.9,3.32
Mpumalanga,Soybean,Sandy,261.1,23.1,12.9,126.5,183.9,2.73,27.8,1.27
Free State,Wheat,Loam,692.3,20.4,38.6,72.1,241.3,4.02,9.0,5.78
Limpopo,Wheat,Sandy,586.5,23.3,32.2,125.5,194.3,1.2,1.1,3.7
Free State,Soybean,Sandy,650.4,24.5,32.6,0.0,172.8,3.09,8.8,2.54
KwaZulu-Natal,Maize,Sandy,794.1,23.0,43.5,10.7,129.2,3.7,6.6,6.1
KwaZulu-Natal,Soybean,Clay,563.2,19.5,30.2,144.6,115.2,3.64,44.2,3.3
Limpopo,Wheat,Clay,577.9,26.6,27.6,13.5,107.4,2.22,35.6,3.43
North West,Sunflower,Sandy Loam,633.2,20.7,34.1,183.7,145.8,1.12,25.1,2.85
Mpumalanga,Wheat,Clay,474.0,22.5,28.6,115.5,99.8,4.02,44.9,3.22
Free State,Wheat,Sandy,427.9,20.9,27.8,141.0,99.6,1.35,8.8,2.85
Mpumalanga,Sunflower,Sandy Loam,625.5,24.6,36.0,219.7,129.5,4.22,1.8,2.92
KwaZulu-Natal,Maize,Loam,625.0,22.8,23.4,22.9,182.3,1.88,17.8,7.38
North West,Sunflower,Sandy Loam,396.4,21.9,20.5,244.3,251.1,3.3,1.0,2.93
KwaZulu-Natal,Sunflower,Clay,630.1,27.2,41.8,67.3,156.5,4.77,10.7,2.66
Mpumalanga,Soybean,Loam,446.1,22.4,23.4,53.7,115.4,1.17,9.4,3.15
Mpumalanga,Wheat,Loam,381.6,25.4,20.7,109.6,143.6,1.55,7.3,4.28
Mpumalanga,Sunflower,Clay,624.8,15.2,28.3,103.8,170.7,5.11,17.6,2.45
North West,Wheat,Loam,526.6,22.4,33.6,140.9,211.8,2.79,35.9,4.78
Free State,Wheat,Clay,740.7,22.4,39.1,9.1,133.2,2.14,17.7,4.24
Mpumalanga,Soybean,Sandy Loam,496.9,19.6,29.1,263.1,187.0,3.49,7.8,4.1
Free State,Maize,Sandy Loam,288.3,19.6,15.2,1.4,169.0,5.06,1.5,4.64
KwaZulu-Natal,Soybean,Sandy,574.4,26.6,24.4,42.6,152.0,2.74,55.0,2.64
Mpumalanga,Soybean,Clay,764.0,20.1,41.5,65.6,222.6,0.25,12.7,5.19
Limpopo,Maize,Sandy,601.1,24.6,22.6,83.4,213.4,1.06,12.0,5.76
North West,Wheat,Sandy Loam,731.2,20.3,36.2,232.8,275.9,3.73,21.5,5.03
Free State,Maize,Sandy Loam,456.3,26.1,18.8,173.4,141.2,5.8,1.9,4.94
North West,Maize,Sandy Loam,599.4,12.5,36.0,186.7,184.3,2.2,43.1,7.78
Limpopo,Maize,Sandy,635.8,20.7,33.2,44.3,259.4,2.6,8.4,5.41
KwaZulu-Natal,Wheat,Clay,286.0,24.3,5.0,117.2,268.6,3.69,49.7,2.99
KwaZulu-Natal,Soybean,Sandy Loam,690.8,21.8,32.7,141.8,104.8,3.03,12.2,3.7
Free State,Sunflower,Clay,477.9,26.2,31.9,184.5,143.9,2.09,3.8,2.34
Free State,Sunflower,Sandy,536.6,27.6,20.2,169.4,123.6,1.79,16.4,1.59
Free State,Maize,Sandy Loam,552.9,26.6,28.8,279.8,175.9,3.3,75.5,6.41
Limpopo,Soybean,Sandy,630.6,22.5,32.2,169.8,226.3,2.27,1.0,3.81
Free State,Maize,Sandy,332.2,15.8,23.5,170.5,68.2,1.41,2.6,4.14
North West,Wheat,Sandy,468.3,19.1,25.2,124.1,176.4,2.9,10.1,3.23
Limpopo,Soybean,Sandy Loam,708.8,23.0,35.1,13.5,201.2,1.61,9.3,3.93
Mpumalanga,Wheat,Sandy,624.4,20.3,36.2,119.2,81.6,0.79,8.0,3.71
North West,Maize,Sandy,399.8,25.6,12.5,86.0,140.9,2.75,33.4,3.99
Free State,Maize,Clay,457.6,21.1,28.4,147.6,181.6,2.54,78.0,5.93
KwaZulu-Natal,Maize,Sandy Loam,507.6,20.5,25.8,210.6,135.6,2.09,32.6,5.85
Free State,Maize,Sandy Loam,687.1,25.1,40.9,211.5,109.7,1.59,35.6,7.96
KwaZulu-Natal,Wheat,Loam,507.3,18.5,22.2,84.1,152.2,0.74,35.3,4.49
North West,Maize,Sandy Loam,836.3,16.6,46.9,56.3,161.2,1.04,175.1,7.82
Mpumalanga,Sunflower,Loam,579.0,18.9,32.3,194.3,168.1,2.14,35.4,3.04
Mpumalanga,Maize,Sandy Loam,225.8,23.7,16.1,88.4,219.6,2.66,108.4,4.76
KwaZulu-Natal,Maize,Sandy,472.8,21.9,23.5,93.1,143.2,2.78,15.9,4.53
KwaZulu-Natal,Maize,Clay,850.7,19.2,52.0,62.9,79.0,2.33,20.6,6.55
Mpumalanga,Sunflower,Sandy Loam,601.1,29.3,28.6,49.1,167.9,2.47,53.8,2.1
Mpumalanga,Wheat,Sandy Loam,319.2,23.4,23.0,43.8,233.5,1.79,48.6,3.87
Mpumalanga,Sunflower,Sandy,432.7,22.4,18.1,162.6,157.9,1.56,3.5,1.79
Free State,Maize,Sandy,446.1,26.7,22.3,157.7,129.6,1.42,30.5,5.2
Mpumalanga,Soybean,Clay,538.8,21.8,30.4,138.1,232.8,5.41,28.4,3.85
Free State,Soybean,Clay,567.2,21.6,30.4,0.0,229.6,1.93,12.4,3.18
North West,Sunflower,Loam,456.0,27.6,27.3,61.5,233.8,5.4,55.7,2.15
KwaZulu-Natal,Maize,Sandy,574.2,27.4,35.0,108.2,172.6,3.89,47.0,5.32
Free State,Maize,Clay,450.6,19.1,19.5,201.8,253.0,1.72,11.8,6.13
KwaZulu-Natal,Wheat,Clay,539.7,21.5,33.3,71.9,221.2,0.95,23.6,3.91
KwaZulu-Natal,Soybean,Sandy,475.2,19.3,19.3,184.4,250.6,3.71,20.8,3.45
Mpumalanga,Wheat,Sandy,496.1,21.0,35.4,280.1,123.5,3.68,16.2,3.15
North West,Soybean,Sandy Loam,444.4,28.8,24.5,226.9,172.8,4.67,1.8,2.57
Limpopo,Wheat,Sandy,293.3,23.3,14.0,148.0,146.1,3.6,26.9,2.24
Limpopo,Wheat,Sandy Loam,820.1,19.7,42.4,157.8,226.3,1.8,10.6,5.71
KwaZulu-Natal,Wheat,Loam,683.3,20.1,32.6,0.0,153.3,3.75,25.0,4.5
Free State,Wheat,Loam,733.2,19.5,41.1,144.7,129.0,4.89,26.1,4.96
Mpumalanga,Soybean,Sandy,658.6,25.0,44.7,73.0,137.7,2.06,21.9,3.26
Mpumalanga,Maize,Clay,320.1,22.9,9.6,152.6,249.0,4.58,1.0,4.38
Free State,Wheat,Clay,525.7,22.2,41.0,95.2,158.7,3.59,31.3,3.88
Limpopo,Sunflower,Sandy,671.2,21.9,39.1,160.1,180.2,0.8,24.3,3.32
KwaZulu-Natal,Sunflower,Sandy Loam,420.5,29.1,22.5,96.1,300.3,0.84,10.2,2.51
Free State,Soybean,Sandy,489.7,25.4,24.1,81.6,142.1,1.2,35.9,3.1
North West,Wheat,Clay,525.7,21.2,29.1,175.5,181.7,2.9,20.6,4.31
North West,Maize,Sandy Loam,353.2,24.4,17.1,60.6,277.0,1.77,4.6,6.18
Free State,Maize,Clay,399.6,26.3,18.5,252.1,267.2,3.39,13.5,5.8
North West,Soybean,Sandy Loam,433.0,25.5,16.0,118.5,67.0,2.7,2.5,2.85
Limpopo,Soybean,Clay,286.8,25.5,16.8,123.2,224.8,3.85,10.8,2.49
Limpopo,Sunflower,Clay,378.5,21.8,14.0,150.9,206.9,2.63,5.4,2.2
Mpumalanga,Wheat,Sandy Loam,553.6,23.9,28.6,214.6,123.9,0.87,46.7,4.48
KwaZulu-Natal,Soybean,Sandy,466.3,25.2,21.4,26.8,204.4,0.62,3.9,3.19
Free State,Soybean,Sandy Loam,519.9,20.0,22.4,119.3,166.2,1.21,47.3,3.5
Free State,Sunflower,Loam,639.5,22.5,39.5,125.1,161.9,5.33,15.2,2.95
North West,Soybean,Sandy Loam,437.1,23.5,20.9,150.5,296.3,6.26,7.5,3.8
Free State,Sunflower,Loam,894.5,17.2,50.4,17.0,190.6,1.19,7.9,3.25
Free State,Sunflower,Sandy Loam,305.6,22.6,13.7,219.6,122.6,1.95,28.4,2.02
Free State,Sunflower,Loam,738.6,23.4,38.9,116.5,235.2,1.83,9.1,3.49
North West,Sunflower,Sandy,492.0,20.4,26.9,102.4,161.1,3.67,42.4,1.58
Free State,Sunflower,Loam,481.1,16.1,,67.7,144.0,1.45,20.0,3.02
KwaZulu-Natal,Maize,Sandy,670.3,23.5,25.4,203.2,230.6,1.5,12.3,6.65
North West,Soybean,Clay,545.7,20.3,32.7,165.5,101.5,2.24,121.3,3.28
North West,Sunflower,Sandy Loam,858.1,18.6,52.2,21.0,247.2,2.61,7.2,3.49
KwaZulu-Natal,Wheat,Sandy,437.3,22.2,22.3,231.3,106.3,2.73,1.4,3.21
Limpopo,Soybean,Clay,699.1,19.4,37.5,146.8,111.0,0.19,19.3,4.11
North West,Soybean,Loam,663.0,20.4,44.2,195.7,163.8,3.26,8.5,4.73
Mpumalanga,Sunflower,Sandy,787.0,25.0,49.9,154.7,198.6,4.66,37.8,2.88
Free State,Sunflower,Sandy,564.3,15.1,24.5,121.1,176.6,1.43,4.4,2.4
North West,Wheat,Clay,439.0,22.7,25.7,275.9,142.4,0.71,2.3,3.88
North West,Maize,Sandy Loam,902.3,30.7,44.5,96.6,116.9,5.98,37.6,7.06
Free State,Soybean,Loam,502.2,22.1,28.8,218.5,199.6,2.31,32.1,3.65
Free State,Wheat,Sandy,524.1,19.4,23.7,25.8,190.5,0.41,4.8,3.23
Limpopo,Maize,Sandy,666.6,27.9,31.3,0.0,125.9,2.02,12.5,5.2
Free State,Soybean,Clay,423.0,22.7,23.1,184.8,191.3,2.66,14.3,3.16
Limpopo,Sunflower,Sandy,559.3,21.8,33.0,12.5,105.9,4.49,4.6,1.64
Limpopo,Sunflower,Sandy Loam,696.1,21.5,31.1,148.9,138.2,3.15,109.2,2.63
North West,Maize,Sandy,664.8,27.2,35.0,0.0,194.7,2.73,5.0,5.81
KwaZulu-Natal,Sunflower,Sandy Loam,411.2,20.4,17.5,37.4,208.9,2.37,1.5,2.06
Free State,Maize,Sandy,551.2,20.2,31.8,65.3,145.4,0.65,83.0,4.66
Mpumalanga,Soybean,Clay,621.7,17.0,35.1,190.8,188.4,5.15,4.8,3.43
Free State,Sunflower,Clay,618.0,23.5,37.9,170.1,218.2,3.63,32.8,3.59
Limpopo,Maize,Sandy,756.3,24.1,45.1,106.2,309.1,2.22,11.8,7.63
KwaZulu-Natal,Maize,Loam,645.6,19.1,37.7,116.1,104.0,2.47,18.4,7.94
Limpopo,Maize,Loam,634.4,21.6,41.2,64.3,175.4,4.73,42.5,7.0
KwaZulu-Natal,Soybean,Sandy,517.8,14.9,31.9,0.0,84.7,2.92,20.0,1.1
Free State,Wheat,Sandy Loam,421.0,20.4,29.5,136.3,206.9,2.44,80.3,3.89
Limpopo,Soybean,Loam,583.9,25.9,31.1,0.0,109.8,3.07,52.4,3.25
KwaZulu-Natal,Sunflower,Clay,666.5,15.3,34.6,195.6,141.0,1.83,44.1,2.76
KwaZulu-Natal,Wheat,Clay,505.5,25.1,22.3,164.4,300.0,4.31,16.8,4.25
Mpumalanga,Maize,Loam,496.2,21.3,29.1,131.2,144.3,1.21,13.9,7.5
Free State,Soybean,Clay,499.8,24.0,32.4,223.3,196.4,2.59,139.0,3.73
Mpumalanga,Maize,Loam,646.7,20.3,24.0,133.0,215.1,2.47,23.7,7.9
KwaZulu-Natal,Soybean,Sandy Loam,494.7,19.2,27.8,140.9,239.9,5.27,1.7,2.74
Limpopo,Wheat,Sandy Loam,690.7,24.3,40.9,173.5,117.9,5.15,9.3,4.33
Free State,Sunflower,Clay,504.5,24.6,20.0,181.1,154.7,3.53,9.8,2.31
Limpopo,Soybean,Loam,611.5,18.3,32.3,112.5,174.0,1.48,3.1,3.9
North West,Soybean,Clay,556.0,25.1,29.5,181.1,215.5,2.62,33.6,3.14
Limpopo,Soybean,Sandy,716.9,19.4,31.3,167.6,203.5,4.8,7.4,3.94
Mpumalanga,Wheat,Clay,422.3,18.3,13.8,154.1,116.9,4.0,25.6,3.14
Limpopo,Soybean,Clay,606.7,20.7,28.4,0.0,205.5,2.2,7.1,2.97
Limpopo,Maize,Loam,451.9,25.2,16.3,210.6,253.4,6.16,5.0,7.28
North West,Wheat,Sandy Loam,688.0,18.2,31.1,149.3,134.8,1.38,2.6,4.54
North West,Wheat,Loam,361.1,20.6,17.4,107.6,117.0,2.19,37.2,3.11
Limpopo,Wheat,Sandy,667.2,21.2,28.8,109.3,188.5,2.77,79.7,4.03
KwaZulu-Natal,Sunflower,Clay,616.9,19.1,38.1,34.4,180.2,1.33,11.8,2.51
Mpumalanga,Wheat,Sandy,433.9,21.2,20.8,131.5,199.8,3.88,1.0,3.29
Mpumalanga,Wheat,Loam,885.7,14.3,41.7,35.9,227.9,3.58,19.3,5.11
Mpumalanga,Sunflower,Loam,821.7,24.0,50.9,207.2,30.5,1.34,8.8,3.75
North West,Wheat,Loam,688.6,15.4,36.6,0.0,148.8,0.58,43.1,4.68
Mpumalanga,Maize,Clay,468.0,19.3,21.1,134.4,258.2,4.35,6.2,5.94
North West,Wheat,Clay,590.1,20.5,22.6,89.0,152.5,3.2,100.3,3.78
North West,Soybean,Clay,576.9,23.8,27.3,32.6,80.1,1.96,5.8,3.45
Free State,Maize,Sandy Loam,417.3,20.8,25.0,56.5,166.5,2.6,21.7,6.19
KwaZulu-Natal,Sunflower,Loam,531.2,19.6,27.6,63.3,129.3,0.84,21.8,2.56
Free State,Sunflower,Sandy Loam,579.0,25.9,32.4,173.7,164.4,2.43,39.0,3.09
Limpopo,Soybean,Clay,681.0,18.5,32.1,126.8,133.6,1.29,10.8,3.83
Free State,Maize,Sandy Loam,414.4,27.4,26.5,126.0,260.0,1.81,5.2,6.11
KwaZulu-Natal,Wheat,Sandy,892.0,25.5,57.8,173.6,176.8,5.66,1.3,3.97
Mpumalanga,Soybean,Loam,540.7,28.8,27.9,128.5,153.5,1.67,1.4,3.51
Mpumalanga,Soybean,Sandy,741.6,22.2,39.1,155.9,20.0,2.11,1.0,3.0
Limpopo,Maize,Sandy Loam,419.8,23.0,29.0,262.2,225.5,4.17,6.6,6.07
Limpopo,Sunflower,Sandy,621.9,23.3,30.9,138.4,56.4,1.55,11.4,2.66
Free State,Soybean,Sandy,608.7,28.0,39.7,71.5,143.0,3.09,20.8,3.01
Mpumalanga,Sunflower,Sandy,533.6,22.5,28.7,164.9,131.6,1.51,37.2,2.45
Free State,Wheat,Loam,552.2,22.0,22.0,82.1,145.6,0.58,32.7,4.18
Limpopo,Sunflower,Sandy,431.6,24.6,28.0,216.8,164.6,2.31,4.7,2.68
Mpumalanga,Sunflower,Loam,745.0,19.5,49.7,217.2,235.9,3.54,7.2,3.76
Mpumalanga,Soybean,Sandy,447.2,28.3,28.2,130.0,204.6,1.09,14.4,2.71
Limpopo,Wheat,Clay,664.2,23.4,34.1,168.0,174.6,4.1,1.0,4.49
Mpumalanga,Wheat,Sandy,629.3,22.7,40.2,152.7,112.7,2.11,3.3,3.52
KwaZulu-Natal,Maize,Loam,574.8,23.5,33.2,36.8,138.2,2.19,7.6,7.21
Mpumalanga,Maize,Loam,514.4,23.2,36.8,209.5,228.6,2.12,6.1,6.69
Free State,Sunflower,Clay,593.2,18.3,32.8,236.4,157.3,0.47,76.9,2.43
North West,Wheat,Clay,780.8,19.4,46.5,223.6,89.4,2.68,13.8,4.25
North West,Wheat,Loam,484.7,16.8,20.9,0.0,42.5,2.85,1.0,2.75
Limpopo,Sunflower,Sandy,388.6,24.5,10.9,93.8,272.1,2.08,13.8,2.14
North West,Soybean,Loam,591.0,25.8,34.1,200.4,197.4,4.77,1.0,4.35
North West,Soybean,Sandy,502.0,27.6,32.0,0.0,273.4,2.8,31.8,2.88
KwaZulu-Natal,Wheat,Sandy,470.7,28.7,32.5,114.3,303.6,3.29,29.1,3.56
Mpumalanga,Wheat,Clay,302.2,22.9,15.4,158.6,187.2,4.64,16.4,2.77
Free State,Soybean,Loam,556.6,26.3,32.9,143.2,145.9,2.37,36.0,4.24
Mpumalanga,Wheat,Clay,758.0,21.9,33.4,110.9,113.3,1.33,7.7,3.93
Free State,Sunflower,Sandy Loam,502.5,24.3,23.7,36.2,116.6,2.21,13.5,1.93
Limpopo,Soybean,Loam,467.6,19.9,19.9,53.7,103.2,3.45,7.9,2.9
Limpopo,Sunflower,Sandy,614.2,22.6,40.4,209.3,98.2,1.59,36.0,1.92
KwaZulu-Natal,Wheat,Loam,277.5,24.8,17.4,94.7,152.6,2.28,22.4,3.73
Limpopo,Soybean,Clay,647.8,13.8,37.7,56.0,162.5,1.06,65.1,3.38
Mpumalanga,Soybean,Loam,700.5,19.3,36.8,20.4,256.1,2.13,1.0,4.6
North West,Wheat,Sandy,509.2,18.6,22.7,137.5,124.0,2.64,7.3,2.96
North West,Soybean,Loam,496.6,25.8,27.9,28.5,211.3,2.38,27.9,3.87
Free State,Wheat,Clay,803.8,21.1,38.4,58.3,182.1,1.41,18.9,4.53
Free State,Sunflower,Clay,458.5,24.1,17.4,85.0,283.5,0.66,35.0,3.62
Limpopo,Soybean,Loam,601.4,24.1,35.8,174.9,243.9,0.93,53.5,4.97
KwaZulu-Natal,Maize,Sandy,414.6,18.6,21.3,288.2,116.3,3.07,1.0,5.05
North West,Wheat,Loam,641.5,23.7,34.1,266.5,202.7,3.29,24.1,5.07
Limpopo,Maize,Sandy Loam,735.2,12.5,40.9,123.8,296.9,2.09,10.2,7.76
Limpopo,Maize,Sandy,359.9,21.3,14.0,0.0,191.0,5.21,36.0,3.92
Free State,Wheat,Sandy,480.0,19.4,25.8,136.5,176.6,1.47,151.8,2.51
KwaZulu-Natal,Sunflower,Sandy Loam,602.9,19.8,38.9,128.6,130.5,0.38,26.5,3.66
KwaZulu-Natal,Maize,Sandy,732.8,19.2,46.1,245.7,223.0,0.71,2.7,7.3
Mpumalanga,Sunflower,Sandy,683.7,23.7,33.0,84.3,202.5,2.6,1.0,2.63
Mpumalanga,Wheat,Sandy,768.3,19.9,52.8,235.5,168.8,0.56,7.7,5.03
Free State,Sunflower,Loam,636.9,22.3,32.0,20.2,290.2,3.1,4.5,4.28
KwaZulu-Natal,Soybean,Sandy,150.0,13.1,5.0,203.0,132.3,2.67,20.1,1.12
KwaZulu-Natal,Maize,Loam,593.0,19.1,38.1,50.7,252.3,1.55,4.0,8.39
Mpumalanga,Wheat,Sandy Loam,150.0,27.6,9.8,115.1,209.5,2.33,10.7,2.01
Limpopo,Soybean,Loam,462.8,25.7,17.5,47.2,119.8,6.13,21.4,2.78
Limpopo,Maize,Loam,638.0,22.2,25.6,159.0,98.7,2.93,8.6,7.68
Limpopo,Wheat,Clay,445.6,18.1,,0.0,210.1,1.24,34.6,3.29
Mpumalanga,Maize,Clay,433.7,21.5,18.1,123.8,116.8,0.71,18.4,5.0
Mpumalanga,Wheat,Sandy,424.8,18.1,24.0,88.4,111.4,0.26,15.8,3.69
KwaZulu-Natal,Sunflower,Sandy,578.3,21.9,29.4,98.5,207.6,0.93,27.6,3.07
North West,Soybean,Sandy,704.8,20.7,21.6,84.0,190.7,3.74,37.2,3.34
Limpopo,Soybean,Clay,664.9,20.6,40.1,90.1,165.4,5.72,87.3,3.55
KwaZulu-Natal,Sunflower,Sandy,332.2,12.0,15.6,140.9,161.0,2.74,6.3,1.7
Mpumalanga,Wheat,Sandy Loam,382.0,19.0,28.9,58.4,125.7,1.74,24.8,3.21
Limpopo,Soybean,Clay,719.3,25.0,52.8,240.2,20.0,1.92,2.7,3.47
Mpumalanga,Wheat,Clay,648.4,23.6,36.5,101.2,268.5,1.55,53.5,4.5
North West,Wheat,Sandy,516.3,20.4,27.8,213.0,272.0,2.52,74.8,4.44
KwaZulu-Natal,Wheat,Sandy Loam,511.3,18.7,29.6,93.3,224.4,3.22,36.8,4.19
North West,Sunflower,Loam,685.1,21.8,38.9,229.3,98.0,2.08,14.9,3.15
Free State,Maize,Clay,580.0,25.0,25.9,83.6,211.5,4.59,14.0,5.87
Mpumalanga,Sunflower,Sandy,398.4,18.7,19.1,75.3,204.3,1.74,14.4,2.17
North West,Sunflower,Sandy Loam,688.9,26.2,37.0,153.7,151.9,2.32,9.8,3.43
Mpumalanga,Maize,Sandy Loam,900.0,20.9,50.2,122.8,153.2,3.2,3.9,7.85
North West,Soybean,Clay,503.0,24.4,24.2,183.8,218.8,0.33,43.9,3.83
Mpumalanga,Wheat,Clay,910.1,23.0,,144.7,178.8,2.99,43.6,5.43
North West,Maize,Sandy,687.0,23.9,30.4,139.8,116.9,5.74,8.5,5.93
North West,Soybean,Sandy Loam,660.6,22.8,52.9,161.3,136.5,2.57,18.9,4.38
North West,Maize,Sandy Loam,617.7,18.2,34.0,65.3,306.1,2.04,17.0,6.93
North West,Soybean,Sandy,621.2,22.2,40.5,49.0,146.5,5.83,13.8,2.65
Limpopo,Wheat,Sandy,511.8,22.0,22.6,156.1,110.1,1.7,25.2,3.08
Limpopo,Wheat,Clay,524.0,23.2,32.0,136.2,198.8,1.72,29.4,3.85
Limpopo,Soybean,Sandy,389.2,21.0,17.6,108.0,182.1,1.7,9.9,2.47
Mpumalanga,Sunflower,Clay,635.7,19.3,33.1,242.4,271.2,3.17,1.3,3.22
Free State,Wheat,Clay,554.0,24.1,33.2,134.4,168.6,1.6,4.7,2.78
Limpopo,Soybean,Sandy Loam,461.5,18.6,12.7,35.6,91.2,5.34,31.7,1.77
Free State,Sunflower,Sandy,522.0,17.0,21.7,215.7,207.9,2.14,46.9,2.78
North West,Wheat,Clay,239.1,28.7,9.3,89.5,229.7,2.73,17.3,3.09
Free State,Soybean,Sandy,615.0,23.6,25.2,208.7,216.2,2.37,13.9,4.19
North West,Maize,Loam,462.8,19.2,24.1,101.1,65.8,2.23,3.0,6.52
Mpumalanga,Maize,Sandy Loam,515.1,24.4,29.9,182.2,188.9,0.74,5.2,6.69
Free State,Soybean,Sandy,457.4,25.2,27.0,160.8,133.9,1.33,46.0,3.07
North West,Soybean,Sandy,709.2,24.8,34.5,153.5,77.8,0.48,1.2,3.18
North West,Sunflower,Clay,713.0,15.8,30.7,126.7,223.1,1.33,1.0,3.05
Mpumalanga,Wheat,Sandy Loam,338.4,21.8,13.0,263.8,289.7,2.64,57.3,4.15
North West,Wheat,Sandy,485.2,19.8,20.9,128.8,245.4,0.88,12.4,4.1
North West,Maize,Sandy,549.4,22.3,28.1,141.6,142.1,1.68,20.5,5.4
North West,Soybean,Clay,612.9,20.8,35.3,154.0,114.1,0.53,63.7,3.7
Free State,Wheat,Loam,364.8,22.0,11.7,321.9,232.0,1.59,19.1,5.04
Mpumalanga,Wheat,Sandy Loam,313.3,16.8,13.0,157.5,223.6,3.28,83.2,2.99
Limpopo,Soybean,Sandy Loam,585.8,24.8,38.3,151.3,162.4,1.19,20.0,3.59
Free State,Soybean,Sandy Loam,455.9,19.1,26.0,99.9,150.6,1.36,1.0,2.36
KwaZulu-Natal,Sunflower,Clay,748.5,23.3,48.4,0.0,178.1,2.42,16.3,2.22
Free State,Soybean,Loam,865.6,22.2,37.7,149.6,239.5,5.18,19.5,5.47
Free State,Maize,Loam,518.5,26.6,20.9,149.4,212.8,2.77,28.2,7.36
Mpumalanga,Sunflower,Sandy Loam,516.7,14.7,24.5,0.0,196.7,3.32,40.7,2.57
North West,Maize,Sandy Loam,150.0,15.2,5.0,162.7,86.7,1.2,21.7,4.48
Limpopo,Soybean,Sandy,644.2,23.6,36.0,93.4,98.4,0.69,25.9,3.09
North West,Sunflower,Sandy,345.1,24.0,20.7,61.2,79.7,0.68,5.4,0.7
KwaZulu-Natal,Sunflower,Sandy,352.2,23.8,18.1,116.8,151.0,2.06,1.9,1.64
Mpumalanga,Soybean,Clay,655.8,22.8,31.3,114.3,212.1,3.02,13.8,3.74
North West,Maize,Clay,532.6,21.3,31.0,0.0,183.8,4.74,8.6,5.22
North West,Sunflower,Sandy,632.7,19.9,35.0,258.3,254.1,2.65,17.9,3.31
North West,Soybean,Clay,535.5,22.0,19.6,178.2,115.0,2.7,16.6,2.96
North West,Soybean,Sandy,512.3,21.7,18.8,84.7,143.3,0.86,22.4,2.97
KwaZulu-Natal,Wheat,Loam,599.7,18.0,21.0,189.7,226.2,2.05,49.6,5.43
